ens_gene,target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
WBGene00045276,F18E3.13,4.405666404421279e-7,6.888680189205228e-5,32.35476124625931,14.222429981795571,3,3.026896875810668,1.2929481801632328,0.12975083821575456,1.163197341947479,0.08886644460829764,1.163197341947479
WBGene00012633,Y38H6C.21,4.965070234616658e-7,7.619744892141846e-5,32.1084835428687,39.06181245219432,3,1.256978605611818,3.551073859290393,0.07233390651974846,3.4787399527706437,0.48066972495312493,3.4787399527706437
WBGene00003090,lys-1,4.98273056327183e-7,7.619744892141846e-5,32.10116747690435,4.2794472429234105,3,7.994918455647749,0.38904065844758395,3.694655798308211e-4,0.388671192867752,0.03115395405826921,0.388671192867752
WBGene00022040,Y65B4BR.1,5.416789047612432e-7,8.193482215932023e-5,31.92904895595015,10.824302259745473,3,3.23433235973145,0.9840274781586799,0.05024222627125305,0.9337852518874262,0.07771679264748943,0.9337852518874262
WBGene00012583,clec-4,5.792849706880478e-7,8.668096400102014e-5,31.790714574845648,6.471320261547388,3,4.554207347914558,0.5883018419588537,0.014849632487657997,0.5734522094711954,0.04930022666407463,0.5734522094711954
WBGene00010745,dod-17,6.315789766099171e-7,9.350056423940006e-5,31.61256286253621,4.17325176235774,3,4.584675612381866,0.37938652385070376,0.012098484360588952,0.3672880394901147,0.048822604755500834,0.3672880394901147
WBGene00012664,Y39B6A.1,6.848974648733961e-7,1.0032666443345453e-4,31.44547908542525,2.5658358909842813,3,7.36168212656852,0.2332578082712982,7.524124003233331e-4,0.23250539587097496,0.029109957396391058,0.23250539587097496
WBGene00014092,ZK822.5,6.993324201926031e-7,1.013740620770861e-4,31.402476256591093,4.063551413164503,3,5.0537629895186695,0.36941376483313604,0.007852129053126409,0.3615616357800102,0.04215706294845199,0.3615616357800102
WBGene00009215,thn-2,7.786826979082791e-7,1.0952511074179279e-4,31.180853189949712,6.544169562211254,3,4.891379282548029,0.5949245056555684,0.009211887340108004,0.5857126183154605,0.04432998004465141,0.5857126183154605
WBGene00007833,oac-6,7.757213213126632e-7,1.0952511074179279e-4,31.188710996760197,5.482840391042572,3,3.969620013130073,0.4984400355493252,0.023253212819276635,0.47518682273004814,0.06023382413397663,0.47518682273004814
WBGene00022644,dod-19,7.791740416382213e-7,1.0952511074179279e-4,31.17955232899239,2.2713771987494447,3,6.759023188901781,0.2064888362499495,8.248667251104331e-4,0.2056639695248391,0.0290525516913153,0.2056639695248391
WBGene00010749,K10D11.5,8.299573147130583e-7,1.1549685991546919e-4,31.049333629029373,4.498827269718617,3,4.798502396989735,0.408984297247147,0.010708120710847077,0.3982761765362999,0.04563790451996542,0.3982761765362999
WBGene00009773,lipl-2,8.398925470248532e-7,1.1572222459799858e-4,31.024790074404965,30.000978870512512,3,3.230193060218764,2.7273617155011394,0.11110541821055496,2.6162562972905827,0.07791227518907268,2.6162562972905827
WBGene00009971,F53C11.1,9.12149019530922e-7,1.244457427038462e-4,30.854554310556114,5.146751865366657,3,5.09472775505613,0.46788653321515117,0.008639268318525467,0.45924726489662515,0.04163341870412058,0.45924726489662515
WBGene00009192,asah-2,1.0574260726386916e-6,1.4286544880427214e-4,30.549634690424504,2.7551896824901942,3,5.727579638665232,0.25047178931729086,0.003222385280984911,0.24724940403630544,0.03486450048296456,0.24724940403630544
WBGene00006510,mtrr-1,1.0949459598642576e-6,1.465121920910674e-4,30.477683279524477,1.8355141970544993,3,6.841291695511147,0.16686492700495412,0.0014063928852544212,0.16545853411970005,0.028937407941834168,0.16545853411970005
WBGene00017301,hach-1,1.1631000031568888e-6,1.54149520418393e-4,30.353064374264672,3.803300773354417,3,7.169176822553017,0.3457546157594917,0.0010555215940654759,0.344699094165427,0.028892552880160932,0.344699094165427
WBGene00001758,gst-10,1.221852558595104e-6,1.5821721354710165e-4,30.25135131301319,2.815704957843686,3,5.894382773699312,0.2559731779857896,0.003475770757285844,0.2524974072285038,0.03340896280067496,0.2524974072285038
WBGene00008936,papl-1,1.2279001913687108e-6,1.5821721354710165e-4,30.24116000180736,3.290542215844081,3,5.617402919728604,0.2991402014403703,0.005015673522972051,0.29412452791739896,0.035900178039834425,0.29412452791739896
WBGene00008988,F20G2.5,1.2182175586658638e-6,1.5821721354710165e-4,30.25750116842789,19.980645216970313,3,2.723959563723581,1.8164222924518467,0.14117704836772468,1.6752452440841221,0.11054977252856053,1.6752452440841221
WBGene00016274,C30G12.2,1.2739929400949257e-6,1.6265032802166042e-4,30.165092747820324,2.8250692526172005,3,5.665114459782746,0.2568244775106535,0.004681464032220043,0.25214301347843454,0.03544656141828087,0.25214301347843454
WBGene00010660,K08D8.6,1.422971372203162e-6,1.8001881468708366e-4,29.936773901716172,1.8966368441272132,3,5.858519153311576,0.17242153128429244,0.0024535401665622017,0.1699679911177299,0.033707085511082,0.1699679911177299
WBGene00009895,scl-2,1.4807201404369806e-6,1.856369502191083e-4,29.854631168145314,6.199922835006826,3,5.193330544889807,0.5636293486369848,0.010696363052483759,0.5529329855845004,0.04041573282927417,0.5529329855845004
WBGene00015695,ugt-26,1.5447530398591786e-6,1.9193556520250295e-4,29.76720689706613,3.8045894784313443,3,4.499481129643877,0.34587177076648534,0.01528919388893006,0.33058257687755577,0.050175826437982775,0.33058257687755577
WBGene00016892,C53A3.2,1.578907943119229e-6,1.944432118269663e-4,29.72204279631188,11.4330383613675,3,4.373144818397696,1.0393671237606807,0.0410641896609687,0.9983029340997132,0.05229458622162028,0.9983029340997132
WBGene00019738,clec-265,1.7371183251094745e-6,2.1205033870371444e-4,29.524805859871186,2.5659605641934298,3,5.504842328077678,0.2332691421994034,0.00437335101411595,0.22889579118528675,0.036990898068867725,0.22889579118528675
WBGene00008220,C50B6.7,1.8521588465186629e-6,2.2412732615785836e-4,29.392338553357504,2.588704162895745,3,4.799574096037643,0.2353367420814317,0.009257691682637487,0.22607905039879386,0.04562257434204127,0.22607905039879386
WBGene00011753,T13F3.6,2.1549114323621204e-6,2.524753241209653e-4,29.079509027403816,3.633592294894522,3,6.139010723943272,0.33032657226313794,0.0025101086157943483,0.32781646364734396,0.031668788479412284,0.32781646364734396
WBGene00012947,Y47H9C.1,2.1519674076907756e-6,2.524753241209653e-4,29.082334357346152,5.987084475725696,3,3.4282984286713947,0.5442804068841546,0.043353590625057344,0.5009268162590967,0.07066243634289945,0.5009268162590967
WBGene00000212,asm-2,2.158994220350307e-6,2.524753241209653e-4,29.075597213346704,2.994801378030825,3,4.712243379451719,0.2722546707300753,0.009682172940190607,0.26257249778988445,0.04689071605929748,0.26257249778988445
WBGene00007097,B0024.4,2.118474019803379e-6,2.524753241209653e-4,29.11475169189011,42.060002253206086,3,5.089007403065827,3.823636568473281,0.023053072471936168,3.8005834960013445,0.0417059253005355,3.8005834960013445
WBGene00009902,drd-1,2.2324991802818496e-6,2.5889548827335185e-4,29.00640551891313,5.407258291042307,3,4.584923984703094,0.4915689355493004,0.016894009128292777,0.4746749264210079,0.04881873887950453,0.4746749264210079
WBGene00017678,asp-12,2.4105125441045266e-6,2.7722886416329417e-4,28.84783285573467,10.72228539748655,3,4.98495921078169,0.974753217953322,0.012320222772931343,0.9624329951803914,0.04305920314857245,0.9624329951803914
WBGene00017485,F15E6.4,2.676969623633286e-6,3.0535007608590827e-4,28.631075597615478,27.50587063028861,3,2.773442199398019,2.5005336936626006,0.23173529541706342,2.2687983982455373,0.10644096203002668,2.2687983982455373
WBGene00012518,comt-2,2.7113118615014998e-6,3.067529745093892e-4,28.604718708089493,35.61034817568945,3,1.3305161148180997,3.2373043796081324,0.11317849524550638,3.1241258843626256,0.4426225732091106,3.1241258843626256
WBGene00045275,F18E3.12,2.7736330008376612e-6,3.112732003198136e-4,28.55772827402505,39.641284726376234,3,1.931294877834439,3.6037531569432932,0.22106116404516987,3.382691992898124,0.23039536535675942,3.382691992898124
WBGene00017565,ddo-2,2.9134120660965913e-6,3.243443384944013e-4,28.456055053490577,12.271150654619747,3,4.432246383558205,1.1155591504199767,0.039110627754660496,1.0764485226653167,0.05128539260201023,1.0764485226653167
WBGene00010750,K10D11.6,2.968046796725632e-6,3.2780427954947537e-4,28.417631817388013,4.9303497787552635,3,3.762866763798098,0.448213616250479,0.028982900150519384,0.4192307160999591,0.06392686476789641,0.4192307160999591
WBGene00001760,gst-12,3.0385832806459333e-6,3.3053171857954803e-4,28.369055808242155,6.6332057645511675,3,3.3371828237695023,0.6030187058682881,0.05050275900344819,0.5525159468648398,0.07351607236893447,0.5525159468648398
WBGene00008199,C49C3.9,3.0402457587081165e-6,3.3053171857954803e-4,28.36792453605069,7.3395116184437095,3,5.259627650308161,0.6672283289494284,0.006971254206842068,0.6602570747425861,0.039632020040291795,0.6602570747425861
WBGene00008629,cpt-5,3.097483819006919e-6,3.341440684131805e-4,28.32934734614801,6.717909041913442,3,5.404889437321096,0.610719003810313,0.005801775925385212,0.6049172278849277,0.03801733710967138,0.6049172278849277
WBGene00001564,icl-1,3.1514548793997315e-6,3.3735112385943584e-4,28.293618040844766,4.82648349620298,3,7.30820889184029,0.43877122692754356,8.002058903399664e-4,0.43797102103720364,0.029031342406089587,0.43797102103720364
WBGene00017567,F18E3.11,3.183133316323316e-6,3.3814109335843717e-4,28.272929877005392,34.27258315616442,3,2.546101824038943,3.115689377833129,0.19322550949813755,2.922463868334992,0.12772238775817626,2.922463868334992
WBGene00011119,mpc-1,3.345419238125452e-6,3.52688288770862e-4,28.17006741881493,2.0154856618648465,3,6.078470135944164,0.18322596926044055,0.0023782476161067025,0.18084772164433388,0.03204566080885344,0.18084772164433388
WBGene00015400,cyp-35A2,3.475410203098806e-6,3.636376570400225e-4,28.09120372223117,3.099480221189297,3,5.422037543234616,0.28177092919902647,0.005756583638347698,0.2760143455606793,0.03783625699605947,0.2760143455606793
WBGene00006649,tth-1,3.5128019488981712e-6,3.648071038870668e-4,28.069063216109477,2.7045521116523363,3,5.37097764359451,0.24586837378657636,0.005426188538829038,0.240442185247747,0.03838143488290642,0.240442185247747
WBGene00002273,lec-10,3.609356651632682e-6,3.720578308453363e-4,28.012960781582862,2.0851358550497423,3,7.195978683531225,0.18955780500452282,8.052188411786551e-4,0.18875258616334337,0.02891196795766044,0.18875258616334337
WBGene00045457,F33H12.7,3.6383712623323604e-6,3.7229098887218477e-4,27.996394359945842,7.585491630812597,3,3.234017530811238,0.6895901482556906,0.0688959026432294,0.6206942456124612,0.07773158163128609,0.6206942456124612
WBGene00014003,ZK593.3,3.709222062826609e-6,3.767703228196722e-4,27.95648830216532,14.443785949537833,3,3.867197374454726,1.3130714499579845,0.06288768285604632,1.2501837671019385,0.062163578284610777,1.2501837671019385
WBGene00003658,nhr-68,3.8021814788489584e-6,3.834141844903051e-4,27.90526788185972,3.9357405539691794,3,4.279337670013137,0.35779459581537926,0.016908948477219736,0.3408856473381602,0.05396894772599194,0.3408856473381602
WBGene00018459,F45D11.14,3.9698705246131164e-6,3.9744401597493616e-4,27.815953659465272,8.280633297119111,3,5.591587642923151,0.7527848451926469,0.0050787474025758145,0.7477060977900707,0.03614802137324312,0.7477060977900707
WBGene00015573,C07G1.7,4.1286837464705735e-6,4.095533388137097e-4,27.734771161927622,33.58818899222785,3,1.476192144329153,3.053471726566168,0.12261813657752421,2.930853589988644,0.37634426204585586,2.930853589988644
WBGene00044206,T26H5.9,4.167742442439618e-6,4.095533388137097e-4,27.71528244845816,13.846163752909842,3,3.0896284036633914,1.2587421593554404,0.05299019039655925,1.205751968958881,0.08524055563289412,1.205751968958881
WBGene00008925,F17H10.1,4.179115702180711e-6,4.095533388137097e-4,27.70964189262942,1.5536748122619977,3,5.420674978210501,0.14124316475109053,0.005232559739748832,0.13601060501134185,0.03785057051014948,0.13601060501134185
WBGene00007565,clec-48,4.245136975964754e-6,4.131141689337449e-4,27.677198155345394,3.103848282347008,3,5.153103315372645,0.28216802566790966,0.006474453531387579,0.27569357213652224,0.04090510858767388,0.27569357213652224
WBGene00010050,F54D5.4,4.317851800595346e-6,4.1727240039642245e-4,27.64204252807547,3.868565280277986,3,6.363191009355686,0.3516877527525445,0.0020683849538789692,0.3496193677986652,0.03043868079692044,0.3496193677986652
WBGene00012081,T27C5.8,4.532981106855528e-6,4.350411385034588e-4,27.541390434942905,31.750090280513685,3,1.071261409088897,2.8863718436830625,0.06269871360005147,2.8236731300830105,0.5926488846312299,2.8236731300830105
WBGene00018730,F53A9.7,4.640493185405378e-6,4.4230892580891264e-4,27.492861167160243,7.924604516854133,3,3.466802573028973,0.7204185924412853,0.05676552398167351,0.6636530684596113,0.06964614830841077,0.6636530684596113
WBGene00006628,tsp-2,4.786450928516166e-6,4.531173545661971e-4,27.428743065004326,14.493432722283124,3,2.686111451531186,1.3175847929348294,0.15402280335363955,1.16356198958119,0.11387336779889247,1.16356198958119
WBGene00008726,F13A7.11,4.9134619640426804e-6,4.6199822088931045e-4,27.37451562619037,12.76339766661474,3,3.3039522501300493,1.1603088787831584,0.05325820155024843,1.1070506772329096,0.07474493739737448,1.1070506772329096
WBGene00012462,Y17G7B.8,5.029839250839053e-6,4.697667316421226e-4,27.32604205306643,4.2027114800708265,3,4.524956918001556,0.3820646800064389,0.013696376608748286,0.3683683033976905,0.04976529873138826,0.3683683033976905
WBGene00010904,ugt-62,5.745956347753201e-6,5.330715235688903e-4,27.050359958021698,3.7932557016874044,3,6.3061032448352154,0.3448414274261281,0.0023810371212749344,0.34246039030485276,0.030728862275822836,0.34246039030485276
WBGene00003097,lys-8,6.0771615189622036e-6,5.518127972067713e-4,26.93426410324674,1.646197012057951,3,6.941450258093904,0.1496542738234502,9.624608151030986e-4,0.148691813008347,0.028868269145167155,0.148691813008347
WBGene00017756,F23F12.12,6.10658025077916e-6,5.518127972067713e-4,26.924259126108844,9.175622638172499,3,3.1292469146430872,0.8341475125611351,0.06912934906612107,0.7650181634950152,0.08306924979350408,0.7650181634950152
WBGene00021872,clec-85,6.0464098425188045e-6,5.518127972067713e-4,26.944774173099873,6.531774772630596,3,5.505558693916754,0.5937977066027833,0.003761062673539555,0.5900366439292419,0.036983796558292474,0.5900366439292419
